date,hour,day_of_week,XGB_demand
2023-01-01 00:00:00,1,6,7.0
2023-01-01 00:00:00,1,6,4.0
2023-01-01 00:00:00,1,6,4.0
2023-01-01 00:00:00,1,6,4.0
2023-01-01 00:00:00,2,6,4.0
2023-01-01 00:00:00,2,6,5.0
2023-01-01 00:00:00,2,6,6.0
2023-01-01 00:00:00,2,6,6.0
2023-01-01 00:00:00,2,6,6.0
2023-01-01 00:00:00,2,6,6.0
2023-01-01 00:00:00,3,6,6.0
2023-01-01 00:00:00,3,6,8.0
2023-01-01 00:00:00,3,6,8.0
2023-01-01 00:00:00,3,6,8.0
2023-01-01 00:00:00,3,6,8.0
2023-01-01 00:00:00,3,6,8.0
2023-01-01 00:00:00,3,6,7.0
2023-01-01 00:00:00,3,6,7.0
2023-01-01 00:00:00,4,6,7.0
2023-01-01 00:00:00,4,6,9.0
2023-01-01 00:00:00,4,6,9.0
2023-01-01 00:00:00,4,6,9.0
2023-01-01 00:00:00,4,6,9.0
2023-01-01 00:00:00,4,6,9.0
2023-01-01 00:00:00,4,6,8.0
2023-01-01 00:00:00,4,6,8.0
2023-01-01 00:00:00,4,6,8.0
2023-01-01 00:00:00,5,6,8.0
2023-01-01 00:00:00,5,6,3.0
2023-01-01 00:00:00,5,6,3.0
2023-01-01 00:00:00,5,6,4.0
2023-01-01 00:00:00,6,6,5.0
2023-01-01 00:00:00,6,6,4.0
2023-01-01 00:00:00,6,6,4.0
2023-01-01 00:00:00,7,6,4.0
2023-01-01 00:00:00,7,6,6.0
2023-01-01 00:00:00,7,6,6.0
2023-01-01 00:00:00,7,6,6.0
2023-01-01 00:00:00,7,6,6.0
2023-01-01 00:00:00,8,6,6.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,8,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 00:00:00,9,6,9.0
2023-01-01 10:00:00,10,6,9.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,10,6,10.0
2023-01-01 10:00:00,11,6,10.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 10:00:00,11,6,11.0
2023-01-01 12:00:00,12,6,11.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,12,6,7.0
2023-01-01 12:00:00,13,6,7.0
2023-01-01 12:00:00,13,6,4.0
2023-01-01 12:00:00,13,6,4.0
2023-01-01 12:00:00,13,6,5.0
2023-01-01 14:00:00,14,6,5.0
2023-01-01 14:00:00,14,6,13.0
2023-01-01 14:00:00,14,6,13.0
2023-01-01 14:00:00,14,6,13.0
2023-01-01 14:00:00,14,6,13.0
2023-01-01 14:00:00,14,6,13.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,14,6,12.0
2023-01-01 14:00:00,15,6,12.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,15,6,9.0
2023-01-01 14:00:00,16,6,9.0
2023-01-01 14:00:00,16,6,3.0
2023-01-01 14:00:00,17,6,3.0
2023-01-01 14:00:00,17,6,3.0
2023-01-01 14:00:00,18,6,3.0
2023-01-01 14:00:00,18,6,3.0
2023-01-01 14:00:00,18,6,3.0
2023-01-01 14:00:00,19,6,3.0
2023-01-01 14:00:00,19,6,4.0
2023-01-01 14:00:00,19,6,4.0
2023-01-01 14:00:00,19,6,4.0
2023-01-01 14:00:00,20,6,4.0
2023-01-01 14:00:00,20,6,3.0
2023-01-01 14:00:00,20,6,3.0
2023-01-01 14:00:00,21,6,3.0
2023-01-01 14:00:00,22,6,3.0
2023-01-01 14:00:00,23,6,3.0
2023-01-01 14:00:00,23,6,2.0
2023-01-01 14:00:00,0,0,3.0
2023-01-01 14:00:00,0,0,2.0
2023-01-01 14:00:00,1,0,2.0
2023-01-01 14:00:00,1,0,4.0
2023-01-01 14:00:00,1,0,4.0
2023-01-01 14:00:00,1,0,3.0
2023-01-01 14:00:00,2,0,3.0
2023-01-01 14:00:00,3,0,2.0
2023-01-01 14:00:00,3,0,2.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,5,0,7.0
2023-01-02 05:00:00,6,0,9.0
2023-01-02 05:00:00,6,0,6.0
2023-01-02 05:00:00,6,0,6.0
2023-01-02 05:00:00,6,0,7.0
2023-01-02 05:00:00,6,0,7.0
2023-01-02 05:00:00,7,0,5.0
2023-01-02 05:00:00,7,0,4.0
2023-01-02 05:00:00,7,0,4.0
2023-01-02 05:00:00,8,0,5.0
2023-01-02 05:00:00,8,0,5.0
2023-01-02 05:00:00,8,0,5.0
2023-01-02 05:00:00,9,0,5.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,9,0,9.0
2023-01-02 05:00:00,10,0,9.0
2023-01-02 05:00:00,10,0,5.0
2023-01-02 05:00:00,10,0,5.0
2023-01-02 05:00:00,10,0,6.0
2023-01-02 05:00:00,10,0,6.0
2023-01-02 05:00:00,11,0,6.0
2023-01-02 05:00:00,11,0,6.0
2023-01-02 05:00:00,11,0,6.0
2023-01-02 05:00:00,11,0,6.0
2023-01-02 05:00:00,11,0,6.0
2023-01-02 05:00:00,12,0,6.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,12,0,11.0
2023-01-02 05:00:00,13,0,10.0
2023-01-02 05:00:00,13,0,4.0
2023-01-02 05:00:00,13,0,4.0
2023-01-02 05:00:00,13,0,5.0
2023-01-02 14:00:00,14,0,5.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,14,0,7.0
2023-01-02 14:00:00,15,0,7.0
2023-01-02 14:00:00,15,0,6.0
2023-01-02 14:00:00,15,0,6.0
2023-01-02 14:00:00,15,0,6.0
2023-01-02 14:00:00,15,0,6.0
2023-01-02 14:00:00,15,0,6.0
2023-01-02 14:00:00,16,0,6.0
2023-01-02 14:00:00,16,0,4.0
2023-01-02 14:00:00,16,0,4.0
2023-01-02 14:00:00,17,0,4.0
2023-01-02 14:00:00,17,0,4.0
2023-01-02 14:00:00,17,0,4.0
2023-01-02 14:00:00,18,0,4.0
2023-01-02 14:00:00,20,0,2.0
2023-01-02 14:00:00,20,0,2.0
2023-01-02 14:00:00,21,0,3.0
2023-01-02 14:00:00,22,0,2.0
2023-01-02 14:00:00,23,0,2.0
2023-01-02 14:00:00,0,1,3.0
2023-01-02 14:00:00,0,1,2.0
2023-01-02 14:00:00,2,1,2.0
2023-01-02 14:00:00,2,1,2.0
2023-01-02 14:00:00,2,1,2.0
2023-01-02 14:00:00,3,1,2.0
2023-01-02 14:00:00,4,1,4.0
2023-01-02 14:00:00,4,1,3.0
2023-01-02 14:00:00,5,1,9.0
2023-01-02 14:00:00,5,1,10.0
2023-01-02 14:00:00,5,1,10.0
2023-01-02 14:00:00,5,1,10.0
2023-01-02 14:00:00,5,1,10.0
